origin_port,cargo,destination_port,cargo_distance_m,displayed_sell_value_gbp,distance_status,value_status,source,supporting_frame_count,distinct_ocr_tuples_seen
Al-Jazair,Coffee,Ashbourne,5080.7,189,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,3,1
Al-Jazair,Coffee,Belfry Heights,5856.8,204,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Bucket Bay,3048.9,151,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Al-Jazair,Coffee,Caledonia,3062.9,151,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Al-Jazair,Coffee,Castle Landing,3529.7,160,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,3,1
Al-Jazair,Coffee,Caveira,12779.6,333,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,Caye Tiburon,4399.9,176,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,2,1
Al-Jazair,Coffee,Crownstead,5889.7,204,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Cumberland Hill,4554.4,179,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,2,2
Al-Jazair,Coffee,Deadman's Murcia,3351.1,157,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Al-Jazair,Coffee,Fair Harbour,2629.0,143,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Al-Jazair,Coffee,Falmouth,7173.9,228,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,Gyldenvale,6535.7,216,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Jones' Outpost,3593.1,161,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,Kandlerova,13084.4,339,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,La Povenglia,10307.3,287,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,2,2
Al-Jazair,Coffee,Lebarde,3685.9,163,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,Lord Irving's Sacrifice,7267.7,230,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Al-Jazair,Coffee,Louisbourg,7678.4,238,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Madalena,14528.2,366,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,3
Al-Jazair,Coffee,Mako's Outlook,7388.8,232,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,Matthew's Rest,3789.1,165,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,2,2
Al-Jazair,Coffee,Maurepas,6826.4,222,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,New Brighton,1659.6,125,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Al-Jazair,Coffee,New Catalina,4598.6,180,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,3,1
Al-Jazair,Coffee,Pachard Town,4513.3,178,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,2,1
Al-Jazair,Coffee,Peter's Cove,7301.7,231,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,8,1
Al-Jazair,Coffee,Petit Anvers,8423.8,252,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Poblado de San Juan,12604.9,330,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,Point Rocheux,6603.9,218,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,Ponta Delgada,14022.1,357,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,Port Antonio,8227.1,248,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Port Louis,3319.5,156,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Al-Jazair,Coffee,Port Royal,7409.8,233,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Port-Au-Croix,5551.7,198,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Al-Jazair,Coffee,Princeton,1980.9,131,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Puerto de San Fernando,10820.0,297,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,10,1
Al-Jazair,Coffee,Saint Vincent,1395.3,120,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Al-Jazair,Coffee,Saint-Nicholas,7954.8,243,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Sainte Rose,8858.9,260,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,3,1
Al-Jazair,Coffee,San Polo,12165.3,322,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,San Salvador,12196.5,322,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,San Vito,9166.2,266,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,3,1
Al-Jazair,Coffee,Sandy Settlement,8073.7,245,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,1
Al-Jazair,Coffee,Santa Maria,12174.2,322,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,Sao Bento,13281.9,343,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,Snake Prosper,2701.1,144,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,7,1
Al-Jazair,Coffee,Sugar Cove,5577.2,198,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Al-Jazair,Coffee,Taylor's Town,6930.3,224,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,Theresa,8684.0,257,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,5,1
Al-Jazair,Coffee,Thresher Point,5158.1,190,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,1,1
Al-Jazair,Coffee,Venta Nueva,9803.5,278,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Al-Jazair,Coffee,Villarreal Del Mar,8521.0,254,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,6,2
Al-Jazair,Coffee,White Hook,3909.8,167,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,2,1
Al-Jazair,Coffee,Wyntergard,5223.1,192,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Al-Jazair,Coffee,Yorinobu's Settlement,1853.9,129,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 223317.mp4,4,1
Ashbourne,Oil,Al-Jazair,5080.7,171,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,Belfry Heights,9722.6,250,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Bucket Bay,2894.9,134,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Caledonia,4913.7,169,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,Castle Landing,8599.9,231,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Caveira,11754.2,285,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Caye Tiburon,8105.6,223,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Crownstead,816.6,98,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Cumberland Hill,8782.0,234,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Deadman's Murcia,4213.4,157,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,2
Ashbourne,Oil,Fair Harbour,2468.9,127,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Falmouth,7316.7,209,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Griffard's Rock,6578.2,197,CONFIRMED_FROM_GRIFFARDS_DESTINATION_LIST,DERIVED,naval_route_trade_handoff_v1.json:griffards_rock_backfills,,
Ashbourne,Oil,Gyldenvale,1914.0,118,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Jones' Outpost,7833.1,218,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Kandlerova,16254.2,361,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,La Povenglia,13953.5,322,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Lebarde,8620.3,232,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Lord Irving's Sacrifice,9987.1,255,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Louisbourg,3970.9,153,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Madalena,13063.8,307,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Mako's Outlook,10451.4,263,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Matthew's Rest,3196.3,139,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Maurepas,3468.0,144,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,New Brighton,5327.0,176,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,2
Ashbourne,Oil,New Catalina,9046.0,239,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Pachard Town,3996.0,153,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,6,1
Ashbourne,Oil,Peter's Cove,11895.2,287,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Petit Anvers,3907.5,151,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,7,1
Ashbourne,Oil,Poblado de San Juan,13272.5,311,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,4,1
Ashbourne,Oil,Point Rocheux,5342.3,176,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
Ashbourne,Oil,Ponta Delgada,11564.8,282,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,3,1
Ashbourne,Oil,Port Antonio,8363.0,227,CONFIRMED_FROM_VIDEO,CONFIRMED_FROM_VIDEO,Screen Recording 2026-08-16 105004.mp4,5,1
