origin_port,destination_port
Al-Jazair,Griffard's Rock
Belfry Heights,Griffard's Rock
Bucket Bay,Cumberland Hill
Bucket Bay,Peter's Cove
Bucket Bay,Saint-Nicholas
Bucket Bay,Yorinobu's Settlement
Caledonia,Griffard's Rock
Castle Landing,Griffard's Rock
Caveira,Griffard's Rock
Caye Tiburon,Griffard's Rock
Crownstead,Cumberland Hill
Crownstead,Yorinobu's Settlement
Cumberland Hill,Griffard's Rock
Deadman's Murcia,Griffard's Rock
Fair Harbour,Yorinobu's Settlement
Falmouth,Griffard's Rock
Griffard's Rock,Cumberland Hill
Griffard's Rock,Yorinobu's Settlement
Gyldenvale,Cumberland Hill
Jones' Outpost,Griffard's Rock
Kandlerova,Griffard's Rock
La Povenglia,Griffard's Rock
Lebarde,Griffard's Rock
Lord Irving's Sacrifice,Matthew's Rest
Lord Irving's Sacrifice,Yorinobu's Settlement
Madalena,Griffard's Rock
Mako's Outlook,Cumberland Hill
Mako's Outlook,Yorinobu's Settlement
Matthew's Rest,Yorinobu's Settlement
New Brighton,Griffard's Rock
New Catalina,Griffard's Rock
Pachard Town,Cumberland Hill
Pachard Town,Yorinobu's Settlement
Peter's Cove,Griffard's Rock
Petit Anvers,New Brighton
Poblado de San Juan,Griffard's Rock
Point Rocheux,Cumberland Hill
Point Rocheux,Yorinobu's Settlement
Ponta Delgada,Griffard's Rock
Port Antonio,Griffard's Rock
Port Louis,Yorinobu's Settlement
Port Royal,Griffard's Rock
Port-Au-Croix,Saint-Nicholas
Port-Au-Croix,Yorinobu's Settlement
Princeton,Griffard's Rock
Puerto de San Fernando,Griffard's Rock
Saint Vincent,Griffard's Rock
Saint-Nicholas,Griffard's Rock
San Polo,Griffard's Rock
San Salvador,Griffard's Rock
San Vito,Griffard's Rock
Sandy Settlement,Griffard's Rock
Santa Maria,Griffard's Rock
Sao Bento,Griffard's Rock
Snake Prosper,Griffard's Rock
Sugar Cove,Griffard's Rock
Taylor's Town,Griffard's Rock
Theresa,Griffard's Rock
Thresher Point,Griffard's Rock
Venta Nueva,Cumberland Hill
Venta Nueva,Yorinobu's Settlement
Villarreal Del Mar,Cumberland Hill
Villarreal Del Mar,Yorinobu's Settlement
White Hook,Griffard's Rock
Wyntergard,Yorinobu's Settlement
Yorinobu's Settlement,Griffard's Rock
