economy_port_id,display_name,region,region_id,geometry_port_id,route_eligible,geometry_status,location_note,import_tax_percent,export_tax_percent,tax_status,tax_editable_default
ECON-P01,Petit Anvers,Belle Isles,BEL,BEL-P04,True,CONFIRMED_STAGE1,,12,14,confirmed_user_provided_or_screenshot,True
ECON-P02,Sainte Rose,Belle Isles,BEL,BEL-P03,True,CONFIRMED_STAGE1,,12,14,confirmed_user_provided_or_screenshot,True
ECON-P03,Maurepas,Belle Isles,BEL,BEL-P01,True,CONFIRMED_STAGE1,,12,14,confirmed_user_provided_or_screenshot,True
ECON-P04,Louisbourg,Belle Isles,BEL,BEL-P02,True,CONFIRMED_STAGE1,,12,14,confirmed_user_provided_or_screenshot,True
ECON-P05,Gyldenvale,Vysarian Isles,VYS,VYS-P01,True,CONFIRMED_STAGE1,,13,13,confirmed_user_provided_or_screenshot,True
ECON-P06,Wyntergard,Vysarian Isles,VYS,VYS-P02,True,CONFIRMED_STAGE1,,13,13,confirmed_user_provided_or_screenshot,True
ECON-P07,Ashbourne,Vysarian Isles,VYS,VYS-P03,True,CONFIRMED_STAGE1,,13,13,confirmed_user_provided_or_screenshot,True
ECON-P08,Crownstead,Vysarian Isles,VYS,VYS-P04,True,CONFIRMED_STAGE1,,13,13,confirmed_user_provided_or_screenshot,True
ECON-P09,Port Louis,Îles de Louis,IDL,IDL-P04,True,CONFIRMED_STAGE1,,12,18,confirmed_user_provided_or_screenshot,True
ECON-P10,Fair Harbour,Îles de Louis,IDL,IDL-P03,True,CONFIRMED_STAGE1,,12,18,confirmed_user_provided_or_screenshot,True
ECON-P11,Bucket Bay,Îles de Louis,IDL,IDL-P02,True,CONFIRMED_STAGE1,,12,18,confirmed_user_provided_or_screenshot,True
ECON-P12,Matthew's Rest,Îles de Louis,IDL,IDL-P01,True,CONFIRMED_STAGE1,,12,18,confirmed_user_provided_or_screenshot,True
ECON-P13,Port-Au-Croix,Saint-Pierre,STP,STP-P01,True,CONFIRMED_STAGE1,,12,18,confirmed_user_provided_or_screenshot,True
ECON-P14,Pachard Town,Saint-Pierre,STP,STP-P02,True,CONFIRMED_STAGE1,,12,18,confirmed_user_provided_or_screenshot,True
ECON-P15,Point Rocheux,Saint-Pierre,STP,STP-P03,True,CONFIRMED_STAGE1,,12,18,confirmed_user_provided_or_screenshot,True
ECON-P16,White Hook,East Somerset,ESO,ESO-P01,True,CONFIRMED_STAGE1,,9,10,confirmed_user_provided_or_screenshot,True
ECON-P17,Snake Prosper,East Somerset,ESO,ESO-P02,True,CONFIRMED_STAGE1,,10,12,confirmed_user_provided_or_screenshot,True
ECON-P18,Caledonia,East Somerset,ESO,ESO-P03,True,CONFIRMED_STAGE1,,10,10,confirmed_user_provided_or_screenshot,True
ECON-P19,Deadman's Murcia,East Somerset,ESO,,False,NEEDS_COORDINATE_CONFIRMATION,At the top of the island; exact water anchor not yet supplied.,10,10,confirmed_user_provided_or_screenshot,True
ECON-P20,Saint Vincent,West Somerset,WSO,WSO-P01,True,CONFIRMED_STAGE1,,12,16,confirmed_user_provided_or_screenshot,True
ECON-P21,Yorinobu's Settlement,West Somerset,WSO,WSO-P02,True,CONFIRMED_STAGE1,,10,10,confirmed_user_provided_or_screenshot,True
ECON-P22,New Brighton,West Somerset,WSO,WSO-P03,True,CONFIRMED_STAGE1,,12,15,confirmed_user_provided_or_screenshot,True
ECON-P23,Al-Jazair,West Somerset,WSO,WSO-P04,True,CONFIRMED_STAGE1,,10,12,confirmed_user_provided_or_screenshot,True
ECON-P24,Sugar Cove,New Catalina,NCA,NCA-P01,True,CONFIRMED_STAGE1,,8,8,confirmed_user_provided_or_screenshot,True
