origin_port,origin_region,cargo,destination_port,cargo_distance_m,displayed_sell_value_gbp,distance_status,value_status,source_recording,supporting_frame_count,distinct_ocr_tuples_seen
Louisbourg,Belle Isles,Lace,Al-Jazair,7678.4,206,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Ashbourne,3970.9,146,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Belfry Heights,10247.4,248,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Bucket Bay,4634.5,157,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Caledonia,8607.7,221,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Castle Landing,11029.2,260,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell2.png,1,1
Louisbourg,Belle Isles,Lace,Caveira,8360.7,217,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Caye Tiburon,8817.0,225,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell3.png,1,1
Louisbourg,Belle Isles,Lace,Crownstead,3811.8,143,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell6.png; Louisbourg sell7.png,2,1
Louisbourg,Belle Isles,Lace,Cumberland Hill,12044.4,277,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell2.png,1,2
Louisbourg,Belle Isles,Lace,Deadman's Murcia,8012.3,211,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell4.png,1,1
Louisbourg,Belle Isles,Lace,Fair Harbour,5364.3,168,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Falmouth,5483.8,170,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Gyldenvale,5002.5,163,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell5.png,1,1
Louisbourg,Belle Isles,Lace,Jones' Outpost,11060.2,261,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell2.png,1,1
Louisbourg,Belle Isles,Lace,Kandlerova,15460.5,332,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
Louisbourg,Belle Isles,Lace,La Povenglia,13774.2,305,CONFIRMED_FROM_SCREENSHOT,CONFIRMED_FROM_SCREENSHOT,Louisbourg sell1.png,1,1
