cargo,cargo_distance_m,destination_port,displayed_sell_value_gbp,distance_status,distinct_ocr_tuples_seen,origin_port,origin_region,review_note,source_recording,supporting_frame_count,value_status
Oil,5080.7,Al-Jazair,171,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,9722.6,Belfry Heights,250,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,2894.9,Bucket Bay,134,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,4913.7,Caledonia,169,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,8599.9,Castle Landing,231,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,11754.2,Caveira,285,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,8105.6,Caye Tiburon,223,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,816.6,Crownstead,98,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,8782.0,Cumberland Hill,234,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,Visually verified from a visible recording frame after OCR audit.,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,4213.4,Deadman's Murcia,157,CONFIRMED_FROM_VIDEO,2,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,2468.9,Fair Harbour,127,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7316.7,Falmouth,209,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,1914.0,Gyldenvale,118,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,7833.1,Jones' Outpost,218,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,16254.2,Kandlerova,361,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,13953.5,La Povenglia,322,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,8620.3,Lebarde,232,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,9987.1,Lord Irving's Sacrifice,255,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,3970.9,Louisbourg,153,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,13063.8,Madalena,307,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,10451.4,Mako's Outlook,263,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,3196.3,Matthew's Rest,139,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,3468.0,Maurepas,144,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,5327.0,New Brighton,176,CONFIRMED_FROM_VIDEO,2,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,9046.0,New Catalina,239,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,3996.0,Pachard Town,153,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,6,CONFIRMED_FROM_VIDEO
Oil,11895.2,Peter's Cove,287,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,3907.5,Petit Anvers,151,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,7,CONFIRMED_FROM_VIDEO
Oil,13272.5,Poblado de San Juan,311,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
Oil,5342.3,Point Rocheux,176,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,11564.8,Ponta Delgada,282,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,3,CONFIRMED_FROM_VIDEO
Oil,8363.0,Port Antonio,227,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,5,CONFIRMED_FROM_VIDEO
Oil,1788.6,Port Louis,115,CONFIRMED_FROM_VIDEO,1,Ashbourne,Vysarian Isles,,Screen Recording 2026-08-16 105004.mp4,4,CONFIRMED_FROM_VIDEO
