cargo,cargo_distance_m,destination_port,displayed_sell_value_gbp,distance_review_note,distance_status,distinct_ocr_tuples_seen,extraction_pass,origin_port,origin_region,review_note,source_recording,supporting_frame_count,value_status
Coffee,5080.7,Ashbourne,189,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,3,CONFIRMED_FROM_VIDEO
Coffee,5856.8,Belfry Heights,204,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,3048.9,Bucket Bay,151,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,7,CONFIRMED_FROM_VIDEO
Coffee,3062.9,Caledonia,151,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,7,CONFIRMED_FROM_VIDEO
Coffee,3529.7,Castle Landing,160,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,3,CONFIRMED_FROM_VIDEO
Coffee,12779.6,Caveira,333,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,4399.9,Caye Tiburon,176,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,2,CONFIRMED_FROM_VIDEO
Coffee,5889.7,Crownstead,204,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,4554.4,Cumberland Hill,179,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,2,CONFIRMED_FROM_VIDEO
Coffee,3351.1,Deadman's Murcia,157,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,7,CONFIRMED_FROM_VIDEO
Coffee,2629.0,Fair Harbour,143,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,7,CONFIRMED_FROM_VIDEO
Coffee,7173.9,Falmouth,228,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,6535.7,Gyldenvale,216,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,3593.1,Jones' Outpost,161,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,13084.4,Kandlerova,339,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,10307.3,La Povenglia,287,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,2,CONFIRMED_FROM_VIDEO
Coffee,3685.9,Lebarde,163,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,7267.7,Lord Irving's Sacrifice,230,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
Coffee,7678.4,Louisbourg,238,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,6,CONFIRMED_FROM_VIDEO
Coffee,14528.2,Madalena,366,,CONFIRMED_FROM_VIDEO,3,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,7388.8,Mako's Outlook,232,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,3789.1,Matthew's Rest,165,,CONFIRMED_FROM_VIDEO,2,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,2,CONFIRMED_FROM_VIDEO
Coffee,6826.4,Maurepas,222,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,5,CONFIRMED_FROM_VIDEO
Coffee,1659.6,New Brighton,125,,CONFIRMED_FROM_VIDEO,1,pooled_even_odd_wide,Al-Jazair,West Somerset,,Screen Recording 2026-08-16 223317.mp4,4,CONFIRMED_FROM_VIDEO
