chosen_recorded_distance_m,port_a,port_b,recorded_a_to_b_m,recorded_b_to_a_m,score_a_to_b_candidate,score_b_to_a_candidate
13272.5,Ashbourne,Poblado de San Juan,13272.5,3272.5,0.6567,325.0553
10792.4,Caledonia,Villarreal Del Mar,792.4,10792.4,346.7261,0.7533
10157.2,Castle Landing,Maurepas,10157.2,157.2,0.7318,334.2455
13642.4,Castle Landing,Poblado de San Juan,13642.4,3642.4,0.3158,340.1477
14846.5,Caveira,Deadman's Murcia,4846.5,14846.5,314.8309,0.7001
13663.4,Crownstead,Poblado de San Juan,13663.4,3663.4,0.4838,289.7106
12098.7,Cumberland Hill,La Povenglia,12098.7,2098.7,0.5502,249.4982
14210.9,Cumberland Hill,San Polo,4210.9,14210.9,280.003,0.4687
15993.8,Cumberland Hill,Santa Maria,15993.8,5993.8,0.206,287.8119
16428.5,Deadman's Murcia,Kandlerova,16428.5,6428.5,0.4788,329.8329
13656.5,Deadman's Murcia,La Povenglia,13656.5,3656.5,0.306,289.932
16409.4,Deadman's Murcia,Madalena,16409.4,6409.4,0.3724,307.1432
10473.4,Deadman's Murcia,Peter's Cove,10473.4,473.4,0.1268,322.444
15374.9,Deadman's Murcia,Poblado de San Juan,15374.9,5374.9,0.4645,324.7175
15340.2,Deadman's Murcia,Ponta Delgada,15340.2,5340.2,0.4445,324.9182
10663.4,Deadman's Murcia,Port Antonio,10663.4,663.4,0.6088,330.0616
10361.5,Deadman's Murcia,Port Royal,10361.5,361.5,0.6211,365.2889
13334.5,Deadman's Murcia,Puerto de San Fernando,13334.5,3334.5,0.7797,317.326
10926.1,Deadman's Murcia,Saint-Nicholas,10926.1,926.1,0.3457,330.4041
15512.1,Deadman's Murcia,San Polo,15512.1,5512.1,0.4376,320.523
15241.4,Deadman's Murcia,San Salvador,15241.4,5241.4,0.299,327.5449
12506.6,Deadman's Murcia,San Vito,12506.6,2506.6,0.4359,350.2643
14975.4,Deadman's Murcia,Santa Maria,14975.4,4975.4,0.6227,328.2143
11341.7,Deadman's Murcia,Theresa,11341.7,341.7,0.6799,329.7088
12116.5,Fair Harbour,Santa Maria,12116.5,2116.5,0.2984,255.4333
12241.7,Jones' Outpost,Sainte Rose,2241.7,12241.7,381.9345,0.6627
13367.4,Jones' Outpost,Venta Nueva,3367.4,13367.4,332.7273,0.82
10450.7,Kandlerova,Lebarde,10450.7,450.7,0.3885,322.1785
11238.6,Kandlerova,Villarreal Del Mar,1238.6,11238.6,330.1365,0.2121
10884.4,Lebarde,Puerto de San Fernando,884.4,10884.4,309.52,0.5879
12095.2,Maurepas,Peter's Cove,12095.2,2095.2,0.7069,302.3107
12930.7,New Catalina,Villarreal Del Mar,2930.7,12930.7,342.3675,0.5554
12052.9,Poblado de San Juan,Sandy Settlement,2052.9,12052.9,384.3935,0.7055
13249.5,Poblado de San Juan,Taylor's Town,3249.5,13249.5,297.5463,0.0086
11811.8,Puerto de San Fernando,Sandy Settlement,1811.8,11811.8,377.8078,0.325
12157.4,Saint-Nicholas,Villarreal Del Mar,2157.4,12157.4,330.7925,0.7739
11591.2,Sandy Settlement,Santa Maria,11591.2,1591.2,0.7811,387.5278
11865.6,Sandy Settlement,Villarreal Del Mar,1865.6,11865.6,400.3683,0.3571
11328.7,Sandy Settlement,White Hook,11328.7,1328.7,0.4014,440.4846
12189.2,Taylor's Town,Villarreal Del Mar,2189.2,12189.2,312.3735,0.2999
11411.6,Villarreal Del Mar,White Hook,11411.6,1411.6,0.2951,380.3341
