region_id,region_name,image_width_px,image_height_px,status
BEL,Belle Isles,969,914,visually_verified
VYS,Vysarian Isles,1294,814,visually_verified
IDL,Îles de Louis,1231,593,visually_verified
STP,Saint-Pierre,1249,759,visually_verified
ESO,East Somerset,968,710,visually_verified
WSO,West Somerset,1069,783,visually_verified
NCA,New Catalina,935,876,visually_verified
LEB,Lebarde,1516,865,visually_verified
SNI,Saint-Nicholas,980,783,visually_verified
BTS,Blacktip Shoals,1397,989,visually_verified
IRV,Irving's Reach,1189,937,visually_verified
GRF,Griffard's Rock,870,830,visually_verified
KIN,Kingston,1390,1052,visually_verified
CAY,Cayos Encantados,1708,887,visually_verified
ILB,Ilhas Brumas,1044,685,visually_verified
SSA,San Salvador,592,660,visually_verified
SPO,San Polo,1457,819,visually_verified
