pair_id,tp_a_id,tp_b_id,region_a_id,region_b_id,mapping,confidence
PAIR-001,LEB-TP04,WSO-TP01,LEB,WSO,same_relative_position,confirmed
PAIR-002,LEB-TP03,WSO-TP02,LEB,WSO,same_relative_position,confirmed
PAIR-003,BEL-TP-STP,STP-TP06,BEL,STP,same_relative_position,confirmed
PAIR-004,BEL-TP-IDL,IDL-TP04,BEL,IDL,same_relative_position,confirmed
PAIR-005,VYS-TP01,STP-TP05,VYS,STP,same_relative_position,confirmed
PAIR-006,VYS-TP02,IDL-TP03,VYS,IDL,same_relative_position,confirmed
PAIR-007,IDL-TP01,WSO-TP06,IDL,WSO,same_relative_position,confirmed
PAIR-008,IDL-TP02,ESO-TP02,IDL,ESO,same_relative_position,confirmed
PAIR-009,IDL-TP05,STP-TP04,IDL,STP,same_relative_position,confirmed
PAIR-010,IDL-TP06,GRF-TP05,IDL,GRF,same_relative_position,confirmed
PAIR-011,STP-TP01,GRF-TP06,STP,GRF,same_relative_position,confirmed
PAIR-012,STP-TP02,KIN-TP04,STP,KIN,same_relative_position,confirmed
PAIR-013,STP-TP03,WSO-TP07,STP,WSO,same_relative_position,confirmed
PAIR-014,STP-TP07,CAY-TP02,STP,CAY,same_relative_position,confirmed
PAIR-015,ESO-TP01,WSO-TP05,ESO,WSO,same_relative_position,confirmed
PAIR-016,WSO-TP03,NCA-TP02,WSO,NCA,same_relative_position,confirmed
PAIR-017,WSO-TP04,GRF-TP04,WSO,GRF,same_relative_position,confirmed
PAIR-018,WSO-TP08,BTS-TP06,WSO,BTS,same_relative_position,confirmed
PAIR-019,NCA-TP01,LEB-TP06,NCA,LEB,same_relative_position,confirmed
PAIR-020,LEB-TP01,SNI-TP02,LEB,SNI,same_relative_position,confirmed
PAIR-021,LEB-TP05,GRF-TP03,LEB,GRF,same_relative_position,confirmed
PAIR-022,LEB-TP02,BTS-TP04,LEB,BTS,same_relative_position,confirmed
PAIR-023,SNI-TP01,BTS-TP02,SNI,BTS,same_relative_position,confirmed
PAIR-024,BTS-TP01,SPO-TP02,BTS,SPO,same_relative_position,confirmed
PAIR-025,BTS-TP03,IRV-TP02,BTS,IRV,same_relative_position,confirmed
PAIR-026,BTS-TP05,GRF-TP02,BTS,GRF,same_relative_position,confirmed
PAIR-027,IRV-TP01,SPO-TP01,IRV,SPO,same_relative_position,confirmed
PAIR-028,IRV-TP03,GRF-TP01,IRV,GRF,same_relative_position,confirmed
PAIR-029,IRV-TP04,KIN-TP01,IRV,KIN,same_relative_position,confirmed
PAIR-030,GRF-TP07,KIN-TP02,GRF,KIN,same_relative_position,confirmed
PAIR-031,KIN-TP03,SSA-TP01,KIN,SSA,same_relative_position,confirmed
PAIR-032,KIN-TP05,CAY-TP01,KIN,CAY,same_relative_position,confirmed
PAIR-033,KIN-TP06,ILB-TP01,KIN,ILB,same_relative_position,confirmed
PAIR-034,CAY-TP03,ILB-TP02,CAY,ILB,same_relative_position,confirmed
PAIR-035,CAY-TP04,SSA-TP02,CAY,SSA,same_relative_position,confirmed
