tp_id,region_id,destination_region_id,polygon_coordinates,normalized_polygon_coordinates,paired_tp_id,confidence,notes
BEL-TP-STP,BEL,STP,"[[83, 264], [664, 203], [669, 254], [87, 315]]","[[0.085655, 0.28884], [0.685243, 0.222101], [0.690402, 0.277899], [0.089783, 0.344639]]",STP-TP06,confirmed,
BEL-TP-IDL,BEL,IDL,"[[646, 0], [655, 0], [891, 142], [866, 185], [622, 39]]","[[0.666667, 0.0], [0.675955, 0.0], [0.919505, 0.155361], [0.893705, 0.202407], [0.641899, 0.04267]]",IDL-TP04,confirmed,
VYS-TP01,VYS,STP,"[[523, 273], [427, 411], [468, 440], [564, 302]]","[[0.404173, 0.335381], [0.329985, 0.504914], [0.361669, 0.540541], [0.435858, 0.371007]]",STP-TP05,visually_verified,
VYS-TP02,VYS,IDL,"[[929, 199], [571, 262], [579, 312], [938, 248]]","[[0.717929, 0.244472], [0.441267, 0.321867], [0.44745, 0.383292], [0.724884, 0.304668]]",IDL-TP03,visually_verified,
IDL-TP01,IDL,WSO,"[[275, 23], [932, 23], [932, 72], [275, 72]]","[[0.223396, 0.038786], [0.757108, 0.038786], [0.757108, 0.121417], [0.223396, 0.121417]]",WSO-TP06,visually_verified,
IDL-TP02,IDL,ESO,"[[974, 81], [1045, 232], [999, 253], [929, 102]]","[[0.791227, 0.136594], [0.848903, 0.391231], [0.811535, 0.426644], [0.754671, 0.172007]]",ESO-TP02,visually_verified,
IDL-TP03,IDL,VYS,"[[898, 410], [539, 473], [548, 522], [906, 459]]","[[0.729488, 0.6914], [0.437855, 0.797639], [0.445167, 0.88027], [0.735987, 0.77403]]",VYS-TP02,visually_verified,
IDL-TP04,IDL,BEL,"[[225, 365], [467, 510], [442, 553], [199, 408]]","[[0.182778, 0.615514], [0.379366, 0.860034], [0.359058, 0.932546], [0.161657, 0.688027]]",BEL-TP-IDL,visually_verified,
IDL-TP05,IDL,STP,"[[233, 136], [233, 353], [184, 353], [184, 136]]","[[0.189277, 0.229342], [0.189277, 0.595278], [0.149472, 0.595278], [0.149472, 0.229342]]",STP-TP04,visually_verified,
IDL-TP06,IDL,GRF,"[[249, 0], [145, 90], [179, 128], [284, 32]]","[[0.202275, 0.0], [0.11779, 0.151771], [0.14541, 0.215852], [0.230707, 0.053963]]",GRF-TP05,visually_verified,
STP-TP01,STP,GRF,"[[666, 1], [324, 55], [332, 104], [674, 50]]","[[0.533227, 0.001318], [0.259408, 0.072464], [0.265813, 0.137022], [0.539632, 0.065876]]",GRF-TP06,visually_verified,
STP-TP02,STP,KIN,"[[282, 79], [166, 207], [203, 241], [319, 112]]","[[0.225781, 0.104084], [0.132906, 0.272727], [0.16253, 0.317523], [0.255404, 0.147563]]",KIN-TP04,visually_verified,
STP-TP03,STP,WSO,"[[703, 0], [832, 68], [803, 112], [675, 30]]","[[0.56285, 0.0], [0.666133, 0.089592], [0.642914, 0.147563], [0.540432, 0.039526]]",WSO-TP07,visually_verified,
STP-TP04,STP,IDL,"[[776, 126], [776, 343], [825, 343], [825, 126]]","[[0.621297, 0.166008], [0.621297, 0.45191], [0.660528, 0.45191], [0.660528, 0.166008]]",IDL-TP05,visually_verified,
STP-TP05,STP,VYS,"[[1084, 474], [988, 611], [1028, 640], [1125, 502]]","[[0.867894, 0.624506], [0.791033, 0.805007], [0.823058, 0.843215], [0.900721, 0.661397]]",VYS-TP01,visually_verified,
STP-TP06,STP,BEL,"[[832, 562], [252, 623], [257, 673], [837, 612]]","[[0.666133, 0.740448], [0.201761, 0.820817], [0.205765, 0.886693], [0.670136, 0.806324]]",BEL-TP-STP,visually_verified,
STP-TP07,STP,CAY,"[[170, 308], [225, 619], [176, 628], [121, 316]]","[[0.136109, 0.405797], [0.180144, 0.815547], [0.140913, 0.827404], [0.096878, 0.416337]]",CAY-TP02,visually_verified,
ESO-TP01,ESO,WSO,"[[156, 74], [97, 407], [146, 416], [205, 83]]","[[0.161157, 0.104225], [0.100207, 0.573239], [0.150826, 0.585915], [0.211777, 0.116901]]",WSO-TP05,visually_verified,
ESO-TP02,ESO,IDL,"[[186, 484], [257, 635], [211, 656], [141, 505]]","[[0.192149, 0.68169], [0.265496, 0.894366], [0.217975, 0.923944], [0.145661, 0.711268]]",IDL-TP02,visually_verified,
WSO-TP01,WSO,LEB,"[[344, 85], [619, 109], [615, 159], [340, 135]]","[[0.321796, 0.108557], [0.579046, 0.139208], [0.575304, 0.203065], [0.318054, 0.172414]]",LEB-TP04,confirmed,User-confirmed duplicate regional link; paired by left-to-right spatial order.
WSO-TP02,WSO,LEB,"[[872, 65], [622, 110], [631, 160], [881, 115]]","[[0.815716, 0.083014], [0.581852, 0.140485], [0.590271, 0.204342], [0.824135, 0.146871]]",LEB-TP03,confirmed,User-confirmed duplicate regional link; paired by left-to-right spatial order.
WSO-TP03,WSO,NCA,"[[937, 68], [978, 300], [929, 309], [888, 77]]","[[0.87652, 0.086845], [0.914874, 0.383142], [0.869036, 0.394636], [0.830683, 0.09834]]",NCA-TP02,visually_verified,
WSO-TP04,WSO,GRF,"[[92, 249], [92, 531], [141, 531], [141, 249]]","[[0.086062, 0.318008], [0.086062, 0.678161], [0.131899, 0.678161], [0.131899, 0.318008]]",GRF-TP04,visually_verified,
WSO-TP05,WSO,ESO,"[[924, 322], [865, 655], [914, 664], [973, 331]]","[[0.864359, 0.411239], [0.809167, 0.836526], [0.855005, 0.84802], [0.910196, 0.422733]]",ESO-TP01,visually_verified,
WSO-TP06,WSO,IDL,"[[255, 674], [912, 674], [912, 723], [255, 723]]","[[0.238541, 0.860792], [0.853134, 0.860792], [0.853134, 0.923372], [0.238541, 0.923372]]",IDL-TP01,visually_verified,
WSO-TP07,WSO,STP,"[[104, 645], [251, 684], [238, 732], [92, 693]]","[[0.097287, 0.823755], [0.234799, 0.873563], [0.222638, 0.934866], [0.086062, 0.885057]]",STP-TP03,visually_verified,
WSO-TP08,WSO,BTS,"[[310, 82], [113, 196], [138, 240], [335, 126]]","[[0.289991, 0.104725], [0.105706, 0.250319], [0.129093, 0.306513], [0.313377, 0.16092]]",BTS-TP06,visually_verified,
NCA-TP01,NCA,LEB,"[[296, 35], [296, 582], [247, 582], [247, 35]]","[[0.316578, 0.039954], [0.316578, 0.664384], [0.264171, 0.664384], [0.264171, 0.039954]]",LEB-TP02,visually_verified,
NCA-TP02,NCA,WSO,"[[290, 587], [331, 819], [282, 828], [241, 596]]","[[0.31016, 0.670091], [0.354011, 0.934932], [0.301604, 0.945205], [0.257754, 0.680365]]",WSO-TP03,visually_verified,
LEB-TP01,LEB,SNI,"[[776, 0], [482, 115], [504, 163], [797, 29]]","[[0.511873, 0.0], [0.317942, 0.132948], [0.332454, 0.188439], [0.525726, 0.033526]]",SNI-TP02,visually_verified,
LEB-TP02,LEB,NCA,"[[334, 307], [334, 694], [383, 694], [383, 307]]","[[0.220317, 0.354913], [0.220317, 0.802312], [0.252639, 0.802312], [0.252639, 0.354913]]",NCA-TP01,visually_verified,
LEB-TP03,LEB,WSO,"[[1059, 742], [809, 786], [818, 835], [1068, 791]]","[[0.698549, 0.857803], [0.533641, 0.908671], [0.539578, 0.965318], [0.704485, 0.914451]]",WSO-TP02,confirmed,User-confirmed duplicate regional link; paired by left-to-right spatial order.
LEB-TP04,LEB,WSO,"[[531, 761], [806, 785], [802, 835], [527, 811]]","[[0.350264, 0.879769], [0.531662, 0.907514], [0.529024, 0.965318], [0.347625, 0.937572]]",WSO-TP01,confirmed,User-confirmed duplicate regional link; paired by left-to-right spatial order.
LEB-TP05,LEB,GRF,"[[398, 681], [527, 755], [502, 798], [373, 724]]","[[0.262533, 0.787283], [0.347625, 0.872832], [0.331135, 0.922543], [0.246042, 0.836994]]",GRF-TP03,visually_verified,
LEB-TP06,LEB,BTS,"[[1130, 192], [1130, 739], [1081, 739], [1081, 192]]","[[0.745383, 0.221965], [0.745383, 0.854335], [0.713061, 0.854335], [0.713061, 0.221965]]",BTS-TP04,visually_verified,
SNI-TP01,SNI,BTS,"[[92, 489], [443, 489], [443, 546], [92, 546]]","[[0.093878, 0.624521], [0.452041, 0.624521], [0.452041, 0.697318], [0.093878, 0.697318]]",BTS-TP02,confirmed,Geometry confirmed by user from the marked TP boxes.
SNI-TP02,SNI,LEB,"[[474, 489], [778, 426], [789, 479], [486, 541]]","[[0.483673, 0.624521], [0.793878, 0.544061], [0.805102, 0.61175], [0.495918, 0.690932]]",LEB-TP01,confirmed,Geometry confirmed by user from the marked TP boxes.
BTS-TP01,BTS,SPO,"[[361, 28], [247, 341], [294, 359], [408, 45]]","[[0.258411, 0.028311], [0.176807, 0.344793], [0.210451, 0.362993], [0.292054, 0.045501]]",SPO-TP02,visually_verified,
BTS-TP02,BTS,SNI,"[[651, 184], [972, 184], [972, 233], [651, 233]]","[[0.465999, 0.186047], [0.695777, 0.186047], [0.695777, 0.235592], [0.465999, 0.235592]]",SNI-TP01,visually_verified,
BTS-TP03,BTS,IRV,"[[491, 381], [491, 768], [540, 768], [540, 381]]","[[0.351467, 0.385238], [0.351467, 0.776542], [0.386543, 0.776542], [0.386543, 0.385238]]",IRV-TP02,visually_verified,
BTS-TP04,BTS,LEB,"[[975, 381], [975, 768], [1024, 768], [1024, 381]]","[[0.697924, 0.385238], [0.697924, 0.776542], [0.732999, 0.776542], [0.732999, 0.385238]]",LEB-TP06,visually_verified,
BTS-TP05,BTS,GRF,"[[598, 833], [865, 905], [852, 953], [586, 881]]","[[0.42806, 0.842265], [0.619184, 0.915066], [0.609878, 0.9636], [0.41947, 0.890799]]",GRF-TP02,visually_verified,
BTS-TP06,BTS,WSO,"[[1138, 832], [941, 946], [966, 988], [1163, 876]]","[[0.814603, 0.841254], [0.673586, 0.956522], [0.691482, 0.998989], [0.832498, 0.885743]]",WSO-TP08,visually_verified,
IRV-TP01,IRV,SPO,"[[552, 126], [143, 198], [151, 247], [561, 175]]","[[0.464256, 0.134472], [0.120269, 0.211313], [0.126997, 0.263607], [0.471825, 0.186766]]",SPO-TP01,visually_verified,
IRV-TP02,IRV,BTS,"[[814, 145], [814, 532], [863, 532], [863, 145]]","[[0.684609, 0.154749], [0.684609, 0.567769], [0.72582, 0.567769], [0.72582, 0.154749]]",BTS-TP03,visually_verified,
IRV-TP03,IRV,GRF,"[[829, 562], [771, 663], [814, 688], [872, 587]]","[[0.697225, 0.599787], [0.648444, 0.707577], [0.684609, 0.734258], [0.733389, 0.626467]]",GRF-TP01,visually_verified,
IRV-TP04,IRV,KIN,"[[283, 458], [802, 700], [780, 745], [262, 504]]","[[0.238015, 0.488794], [0.674516, 0.747065], [0.656013, 0.795091], [0.220353, 0.537887]]",KIN-TP01,visually_verified,
GRF-TP01,GRF,IRV,"[[216, 55], [158, 156], [201, 181], [259, 80]]","[[0.248276, 0.066265], [0.181609, 0.187952], [0.231034, 0.218072], [0.297701, 0.096386]]",IRV-TP03,visually_verified,
